Airport,AP_NAME,FAA REGION,CITY,STATE,AP Type
STX,HENRY E ROHLSEN,ASO,CHRISTIANSTED,VI,Public Use
X64,PATILLAS,ASO,PATILLAS,PR,Public Use
PSE,MERCEDITA,ASO,PONCE,PR,Public Use
VQS,ANTONIO RIVERA RODRIGUEZ,ASO,ISLA DE VIEQUES,PR,Public Use
X63,HUMACAO,ASO,HUMACAO,PR,Public Use
RVR,JOSE APONTE DE LA TORRE,ASO,CEIBA,PR,Public Use
MAZ,EUGENIO MARIA DE HOSTOS,ASO,MAYAGUEZ,PR,Public Use
X95,DIEGO JIMENEZ TORRES,ASO,FAJARDO,PR,Public Use
CPX,BENJAMIN RIVERA NORIEGA,ASO,ISLA DE CULEBRA,PR,Public Use
STT,CYRIL E KING,ASO,CHARLOTTE AMALIE,VI,Public Use
SJU,LUIS MUNOZ MARIN INTL,ASO,SAN JUAN,PR,Federalized/Commercial
ABO,ANTONIO/NERY/JUARBE POL,ASO,ARECIBO,PR,Public Use
SIG,FERNANDO LUIS RIBAS DOMINICCI,ASO,SAN JUAN,PR,Public Use
BQN,RAFAEL HERNANDEZ,ASO,AGUADILLA,PR,Public Use
ITO,HILO INTL,AWP,HILO,HI,Public Use
KOA,KONA INTL AT KEAHOLE,AWP,KAILUA/KONA,HI,Public Use
MUE,WAIMEA-KOHALA,AWP,KAMUELA,HI,Public Use
UPP,UPOLU,AWP,HAWI,HI,Public Use
LNY,LANAI,AWP,LANAI CITY,HI,Public Use
HNM,HANA,AWP,HANA,HI,Public Use
OGG,KAHULUI,AWP,KAHULUI,HI,Federalized/Commercial
MKK,MOLOKAI,AWP,KAUNAKAKAI,HI,Public Use
LUP,KALAUPAPA,AWP,KALAUPAPA,HI,Public Use
JRF,KALAELOA (JOHN RODGERS FIELD),AWP,KAPOLEI,HI,Public Use
HNL,HONOLULU INTL,AWP,HONOLULU,HI,Federalized/Commercial
HDH,DILLINGHAM AIRFIELD,AWP,MOKULEIA,HI,Public Use
PAK,PORT ALLEN,AWP,HANAPEPE,HI,Public Use
LIH,LIHUE,AWP,LIHUE,HI,Public Use
EYW,KEY WEST INTL,ASO,KEY WEST,FL,Federalized/Commercial
MTH,THE FLORIDA KEYS MARATHON,ASO,MARATHON,FL,Public Use
X51,HOMESTEAD GENERAL AVIATION,ASO,HOMESTEAD,FL,Public Use
TMB,KENDALL-TAMIAMI EXECUTIVE,ASO,MIAMI,FL,Public Use
X44,MIAMI,ASO,MIAMI,FL,Public Use
MIA,MIAMI INTL,ASO,MIAMI,FL,Federalized/Commercial
X01,EVERGLADES AIRPARK,ASO,EVERGLADES,FL,Public Use
TNT,DADE-COLLIER TRAINING AND TRANSITION,ASO,MIAMI,FL,Public Use
BRO,BROWNSVILLE/SOUTH PADRE ISLAND INTL,ASW,BROWNSVILLE,TX,Public Use
OPF,OPA- LOCKA EXECUTIVE,ASO,MIAMI,FL,Public Use
MKY,MARCO ISLAND,ASO,MARCO ISLAND,FL,Public Use
HWO,NORTH PERRY,ASO,HOLLYWOOD,FL,Public Use
FLL,FORT LAUDERDALE/HOLLYWOOD INTL,ASO,FORT LAUDERDALE,FL,Federalized/Commercial
DT1,DOWNTOWN FORT LAUDERDALE,ASO,FORT LAUDERDALE,FL,Public Use
APF,NAPLES MUNI,ASO,NAPLES,FL,Public Use
PIL,PORT ISABEL-CAMERON COUNTY,ASW,PORT ISABEL,TX,Public Use
MFE,MC ALLEN MILLER INTL,ASW,MC ALLEN,TX,Federalized/Commercial
T65,MID VALLEY,ASW,WESLACO,TX,Public Use
FXE,FORT LAUDERDALE EXECUTIVE,ASO,FORT LAUDERDALE,FL,Public Use
HRL,VALLEY INTL,ASW,HARLINGEN,TX,Public Use
PMP,POMPANO BEACH AIRPARK,ASO,POMPANO BEACH,FL,Public Use
BCT,BOCA RATON,ASO,BOCA RATON,FL,Public Use
67R,RIO GRANDE CITY MUNI,ASW,RIO GRANDE CITY,TX,Public Use
IMM,IMMOKALEE RGNL,ASO,IMMOKALEE,FL,Public Use
EBG,SOUTH TEXAS INTL AT EDINBURG,ASW,EDINBURG,TX,Public Use
RSW,SOUTHWEST FLORIDA INTL,ASO,FORT MYERS,FL,Federalized/Commercial
T05,CHARLES R JOHNSON,ASW,PORT MANSFIELD,TX,Public Use
FMY,PAGE FIELD,ASO,FORT MYERS,FL,Public Use
LNA,PALM BEACH COUNTY PARK,ASO,WEST PALM BEACH,FL,Public Use
PBI,PALM BEACH INTL,ASO,WEST PALM BEACH,FL,Federalized/Commercial
X10,BELLE GLADE STATE MUNI,ASO,BELLE GLADE,FL,Public Use
2IS,AIRGLADES,ASO,CLEWISTON,FL,Public Use
X14,LA BELLE MUNI,ASO,LA BELLE,FL,Public Use
PHK,PALM BEACH CO GLADES,ASO,PAHOKEE,FL,Public Use
F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,ASO,WEST PALM BEACH,FL,Public Use
PGD,PUNTA GORDA,ASO,PUNTA GORDA,FL,Federalized/Commercial
F13,SHELL CREEK AIRPARK,ASO,PUNTA GORDA,FL,Public Use
APY,ZAPATA COUNTY,ASW,ZAPATA,TX,Public Use
X36,BUCHAN,ASO,ENGLEWOOD,FL,Public Use
X58,INDIANTOWN,ASO,INDIANTOWN,FL,Public Use
VNC,VENICE MUNI,ASO,VENICE,FL,Public Use
SUA,WITHAM FIELD,ASO,STUART,FL,Public Use
X06,ARCADIA MUNI,ASO,ARCADIA,FL,Public Use
BKS,BROOKS COUNTY,ASW,FALFURRIAS,TX,Public Use
OBE,OKEECHOBEE COUNTY,ASO,OKEECHOBEE,FL,Public Use
HBV,JIM HOGG COUNTY,ASW,HEBBRONVILLE,TX,Public Use
SRQ,SARASOTA/BRADENTON INTL,ASO,SARASOTA/BRADENTON,FL,Federalized/Commercial
SEF,SEBRING RGNL,ASO,SEBRING,FL,Public Use
FPR,ST LUCIE COUNTY INTL,ASO,FORT PIERCE,FL,Public Use
CHN,WAUCHULA MUNI,ASO,WAUCHULA,FL,Public Use
LRD,LAREDO INTL,ASW,LAREDO,TX,Federalized/Commercial
IKG,KLEBERG COUNTY,ASW,KINGSVILLE,TX,Public Use
AVO,AVON PARK EXECUTIVE,ASO,AVON PARK,FL,Public Use
07R,BISHOP MUNI,ASW,BISHOP,TX,Public Use
X52,NEW HIBISCUS AIRPARK,ASO,VERO BEACH,FL,Public Use
48X,AIRPORT MANATEE,ASO,PALMETTO,FL,Public Use
VRB,VERO BEACH MUNI,ASO,VERO BEACH,FL,Public Use
ALI,ALICE INTL,ASW,ALICE,TX,Public Use
SPG,ALBERT WHITTED,ASO,ST PETERSBURG,FL,Public Use
CRP,CORPUS CHRISTI INTL,ASW,CORPUS CHRISTI,TX,Federalized/Commercial
RBO,NUECES COUNTY,ASW,ROBSTOWN,TX,Public Use
2RR,RIVER RANCH RESORT,ASO,RIVER RANCH,FL,Public Use
67T,OLD HOPPE PLACE,ASW,AGUA DULCE,TX,Public Use
RAS,MUSTANG BEACH,ASW,PORT ARANSAS,TX,Public Use
X26,SEBASTIAN MUNI,ASO,SEBASTIAN,FL,Public Use
T19,DUVAL-FREER,ASW,FREER,TX,Public Use
9R5,HUNT,ASW,PORTLAND,TX,Public Use
X07,LAKE WALES MUNI,ASO,LAKE WALES,FL,Public Use
PIE,ST PETERSBURG-CLEARWATER INTL,ASO,ST PETERSBURG-CLEARWATER,FL,Federalized/Commercial
TFP,T P MC CAMPBELL,ASW,INGLESIDE,TX,Public Use
TPF,PETER O KNIGHT,ASO,TAMPA,FL,Public Use
X49,SOUTH LAKELAND,ASO,LAKELAND,FL,Public Use
BOW,BARTOW MUNI,ASO,BARTOW,FL,Public Use
X25,CHALET SUZANNE AIR STRIP,ASO,LAKE WALES,FL,Public Use
X59,VALKARIA,ASO,VALKARIA,FL,Public Use
TPA,TAMPA INTL,ASO,TAMPA,FL,Federalized/Commercial
CLW,CLEARWATER AIR PARK,ASO,CLEARWATER,FL,Public Use
LAL,LAKELAND LINDER RGNL,ASO,LAKELAND,FL,Public Use
PCM,PLANT CITY,ASO,PLANT CITY,FL,Public Use
VDF,TAMPA EXECUTIVE,ASO,TAMPA,FL,Public Use
T69,ALFRED C 'BUBBA' THOMAS,ASW,SINTON,TX,Public Use
F57,JACK BROWNS,ASO,WINTER HAVEN,FL,Public Use
GIF,WINTER HAVEN'S GILBERT,ASO,WINTER HAVEN,FL,Public Use
RKP,ARANSAS CO,ASW,ROCKPORT,TX,Public Use
MLB,MELBOURNE INTL,ASO,MELBOURNE,FL,Public Use
MDY,HENDERSON FIELD,AWP,SAND ISLAND,MQ,Public Use
X39,TAMPA NORTH AERO PARK,ASO,TAMPA,FL,Public Use
ZPH,ZEPHYRHILLS MUNI,ASO,ZEPHYRHILLS,FL,Public Use
ISM,KISSIMMEE GATEWAY,ASO,ORLANDO,FL,Public Use
RFG,ROOKE FIELD,ASW,REFUGIO,TX,Public Use
X05,PILOT COUNTRY,ASO,BROOKSVILLE,FL,Public Use
COI,MERRITT ISLAND,ASO,MERRITT ISLAND,FL,Public Use
8T6,LIVE OAK COUNTY,ASW,GEORGE WEST,TX,Public Use
BEA,BEEVILLE MUNI,ASW,BEEVILLE,TX,Public Use
MCO,ORLANDO INTL,ASO,ORLANDO,FL,Federalized/Commercial
COT,COTULLA-LA SALLE COUNTY,ASW,COTULLA,TX,Public Use
BKV,HERNANDO COUNTY,ASO,BROOKSVILLE,FL,Public Use
TIX,SPACE COAST RGNL,ASO,TITUSVILLE,FL,Public Use
